reference_number,title,journal,year,authors,ANOVA_used,design_used,assumptions_check,which_assumptions_checked,transformation_used,type_of_transformation,motivation,reassessment_assumptions,interpretation_scala,study_element,jcr_impact_factor,status,discard_reason
495,Diversity and floristic patterns of mediterranean grasslands: the relative influence of environmental and land management factors,,,,,,,,,,,,,,,discarded,It's not agrarian
496,Anthropogenic Disturbance and Biodiversity of Marine Benthic Communities in Antarctica: A Regional Comparison,,,,,,,,,,,,,,,discarded,It's not agrarian
497,Offshore platforms: Comparison of five benthic indicators for assessing the macrozoobenthic stress levels,,,,,,,,,,,,,,,discarded,It's not agrarian
498,Effects of subtle pollution at different levels of biological organisation on species-rich assemblages,,,,,,,,,,,,,,,discarded,It's not agrarian
499,Evaluating the robustness of repeated measures analyses: The case of small sample sizes and nonnormal data,,,,,,,,,,,,,,,discarded,It's not agrarian
500,Design and Analysis in Benthic Surveys in Environmental Sampling,,,,,,,,,,,,,,,discarded,It's not agrarian
501,A critique of current trends in the statistical analysis of seed germination and viability data,,,,,,,,,,,,,,,discarded,did not perform variance analysis
502,Predicting invertebrate assemblage composition from harvesting pressure and environmental characteristics on tropical reef flats,,,,,,,,,,,,,,,discarded,It's not agrarian
503,Advantages of the lognormal approach to determining reference change values for N-terminal propeptide B-type natriuretic peptide,,,,,,,,,,,,,,,discarded,It's not agrarian
504,Data Transformations with a Full 26 Experimental Design—A Metal-Cutting Case Study,,,,,,,,,,,,,,,discarded,It's not agrarian
505,An integrated simulation-based fuzzy regressiontime series algorithm for electricity consumption estimation with non-stationary data,,,,,,,,,,,,,,,discarded,It's not agrarian
506,traduz exatamente a frase a seguir Power of the test of One-Way Anova after transforming with large sample size data,,,,,,,,,,,,,,,discarded,It's not agrarian
507,Sewage treatment level and flow rates affect polychaete assemblages,,,,,,,,,,,,,,,discarded,It's not agrarian
508,A robust approach for analyzing unbalanced factorial designs with fixed levels,,,,,,,,,,,,,,,discarded,It's not agrarian
509,"Statistical analysis and data display at the Geochemical Prospecting Research Centre and Applied Geochemistry Research Group, Imperial College, London",,,,,,,,,,,,,,,discarded,It's not agrarian
510,The effects of lack of normality and homogeneity of variance on analysis of variance and clonal heritability in in vitro clonal propagation traits,,,,,,,,,,,,,,,discarded,It's not agrarian
511,"Individual, population and community level effects of subtle anthropogenic contamination in estuarine meiobenthos",,,,,,,,,,,,,,,discarded,It's not agrarian
512,ON QUANTIFYING TOLERANCE OF HERBIVORY FOR COMPARATIVE ANALYSES,,,,,,,,,,,,,,,discarded,It's not agrarian
513,The logarithmic transformation should be avoided for stabilising the variance of mould growth rate,,,,,,,,,,,,,,,discarded,It's not agrarian
514,Statistical tests for biological interactions: A comparison of permutation tests and analysis of variance,,,,,,,,,,,,,,,discarded,It's not agrarian
515,"Impact of exploratory offshore drilling on benthic communities in the Minerva gas field, Port Campbell, Australia",,,,,,,,,,,,,,,discarded,It's not agrarian
516,The Limnotrons: a facility for experimental community and food web research,,,,,,,,,,,,,,,discarded,It's not agrarian
517,Evaluation of the Erythroid Regenerative Response in Two Different Models of Experimentally Induced Iron Deficiency Anemia,,,,,,,,,,,,,,,discarded,It's not agrarian
518,"Statistical methods for evaluating a crop nitrogen simulation model, N_ABLE",,,,,,,,,,,,,,,discarded,did not perform variance analysis
519,Recombinant vaccinia viruses and gene gun vectors expressing the large subunit of Schistosoma mansoni calpain used in a murine immunization-challenge model,,,,,,,,,,,,,,,discarded,It's not agrarian
520,A Multivariate QuantitativeGenetic Analysis of Behavioral Development in Mice,,,,,,,,,,,,,,,discarded,It's not agrarian
521,Monitoring of exposure to acrylonitrile by determination of N-(2-cyanoethyl)valine at the N-terminal position of haemoglobin,,,,,,,,,,,,,,,discarded,It's not agrarian
522,Case Studies for Statistical Analysis of Toxicokinetic Data,,,,,,,,,,,,,,,discarded,It's not agrarian
523,Bleeding Due to Needle Biopsy: Effect of Venopirin in an Animal Model and Implications for Humans1,,,,,,,,,,,,,,,discarded,It's not agrarian
524,Automated surface area measurement of cultured cardiac myocytes,,,,,,,,,,,,,,,discarded,It's not agrarian
525,USING SIMILARITY MEASURES IN BENTHIC IMPACT ASSESSMENTS,,,,,,,,,,,,,,,discarded,It's not agrarian
526,Comparative metal analyses in amphipod crustaceans,,,,,,,,,,,,,,,discarded,It's not agrarian
527,A COMPARISON OF THE PERFORMANCE OF DIFFERENT UNIVARIATE FORECASTING METHODS IN A MODEL OF CAPACITY ACQUISITION IN UK ELECTRICITY SUPPLY,,,,,,,,,,,,,,,discarded,It's not agrarian
528,Statistical approach for comparison between methods of bacterial enumeration in drinking water,,,,,,,,,,,,,,,discarded,It's not agrarian
529,Testing the habitat selectivity of bdelloid rotifers in a restricted area,,,,,,,,,,,,,,,discarded,It's not agrarian
530,Data transformation: an underestimated tool by inappropriate use,,,,,,,,,,,,,,,discarded,It's not agrarian
531,A large Canadian database for macroeconomic analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
532,Power of the test of One-Way Anova after transforming with large sample size data,,,,,,,,,,,,,,,discarded,It's not agrarian
533,A SASr CODE TO CORRECT FOR NON-NORMALITY AND NON-CONSTANT VARIANCE IN REGRESSION AND ANOVA MODELS USING THE BOX–COX METHOD OF POWER TRANSFORMATION,,,,,,,,,,,,,,,discarded,It's not agrarian
534,Statistical convenience vs biological insight: consequences of data transformation for the analysis of fitness variation in heterogeneous environments,,,,,,,,,,,,,,,discarded,It's not agrarian
535,Choice of link and variance function for generalized linear mixed models: a case study with binomial response in proteomics,,,,,,,,,,,,,,,discarded,It's not agrarian
536,Using response surface methodology with response transformation in optimizing plasma spraying coatings,,,,,,,,,,,,,,,discarded,It's not agrarian
537,A robustness study of parametric and nonparametric tests in model-based multifactor dimensionality reduction for epistasis detection,,,,,,,,,,,,,,,discarded,It's not agrarian
538,Evaluating the Predictive Power of Ordination Methods in Ecological Context,,,,,,,,,,,,,,,discarded,It's not agrarian
539,Accurate Spatial Estimation and Decomposition Techniques for Variability Characterization,,,,,,,,,,,,,,,discarded,It's not agrarian
540,Bioequivalence of Sitagliptin/Metformin Fixed-Dose Combination Tablets and Concomitant Administration of Sitagliptin and Metformin in Healthy Adult Subjects,,,,,,,,,,,,,,,discarded,It's not agrarian
541,Planning and implementing experiments and analyzing experimental data in vegetable crops: problems and solutions,,,,,,,,,,,,,,,discarded,did not perform variance analysis
542,"The effect of dietary alterations during rearing on growth, productivity, and behavior in broiler breeder females",,,,,,,,,,,,,,,discarded,did not perform variance analysis
543,Management implications inferred from the multivariate analysis of vadose zone chemical variables in Las Tablas de Daimiel National Park (Spain),,,,,,,,,,,,,,,discarded,did not perform variance analysis
544,Comparing sessile benthos on shallow artificial versus natural hard substrates in the Eastern Mediterranean Sea,,,,,,,,,,,,,,,discarded,did not perform variance analysis
545,Diet DNA reveals novel African Forest elephant ecology on the grasslands of the Congo Basin,,,,,,,,,,,,,,,discarded,did not perform variance analysis
546,Fish use of reef structures and adjacent sand flats: implications for selecting minimum buffer zones between new artificial reefs and existing reefs,,,,,,,,,,,,,,,discarded,did not perform variance analysis
547,IN VIVO COMPARATIVE BIOAVAILABILITY STUDY OF TWO VALPROIC ACID SYRUP FORMULATIONS DISPENSED IN GAZA STRIP,,,,,,,,,,,,,,,discarded,did not perform variance analysis
548,"Life-History traits of Hollandichthys multifasciatus (Eigenmann & Norris, 1900) (Characiformes: Characidae) in coastal Atlantic Forest blackwater streams from Southeastern Brazil",,,,,,,,,,,,,,,discarded,did not perform variance analysis
549,"Genetic Parameters and Selection Efficiencies in Resistance to Western Gall Rust, Stalactiform Blister Rust, Needle Cast, and Sequoia Pitch Moth in Lodgepole Pine",,,,,,,,,,,,,,,discarded,did not perform variance analysis
550,Sample Size Requirements for Studies of Treatment Effects on Beta-Cell Function in Newly Diagnosed Type 1 Diabetes,,,,,,,,,,,,,,,discarded,did not perform variance analysis
551,Statistical model assumptions achieved by linear models: classics and generalized mixed1,,,,,,,,,,,,,,,discarded,did not perform variance analysis
552,Optimal Power Transformations for Analysis of Sperm Concentration and Other Semen Variables,,,,,,,,,,,,,,,discarded,did not perform variance analysis
553,Serum Analytes of American Mink (Neovison Vison) Challenged with Aleutian Mink Disease Virus,,,,,,,,,,,,,,,discarded,did not perform variance analysis
554,NON-PARAMETRIC STATISTICAL METHODS AND DATA TRANSFORMATIONS IN AGRICULTURAL PEST POPULATION STUDIES,,,,,,,,,,,,,,,discarded,Does not perform data transformation
555,Data Transformation iTwo-Way Analysis of Variance,,,,,,,,,,,,,,,discarded,It's not agrarian
556,Variability in gut mucosal secretory IgA,,,,,,,,,,,,,,,discarded,It's not agrarian
557, Effect of data transformation on the distribution and repeatability of egg-production traits,,,,,,,,,,,,,,,discarded,It's not agrarian
558,"Productivity, mineral composition, and phenolic compound content in bush snap beans grown during different seasons",,,,,,,,,,,,,,,discarded,simulation study
559,Comparison of Sampling Methods Used to Estimate Spider (Araneae) Species AhWldance and Composition in Grape Vineyards,,,,,,,,,,,,,,,discarded,Biology article
560,"Protection of spruce from colonization by the bark beetle, Ips perturbatus, in Alaska",,,,,,,,,,,,,,,discarded,Biology article
561,Soil fertility under different tillage systems in sugarcane expansion area,,,,,,,,,,,,,,,discarded,Does not perform data transformation
562,The Characterization and Optimization of the Thermal Oxidation Process Equipment Using Experimental Design and Data Transformation,,,,,,,,,,,,,,,discarded,It's not agrarian
563,Central composite design application in the optimization of the effect of waste foundry sand on concrete properties using RSM,,,,,,,,,,,,,,,discarded,engineering
564,Eucalyptus cloeziana seed count data a comparative analysis of statistical models,,,,,,,,,,,,,,,discarded,Does not perform data transformation
565,Integrated management of ginger bacterial wilt Ralstonia solanacearum in Southwest EthiopiaCogent Food and Agriculture,,,,,,,,,,,,,,,discarded,Does not perform data transformation
